score_id,tweet_id,score_value,model_used,analyzed_at,confidence,category_id
63,63,0,2,10 / 15 / 2020,1,63
64,64,0,7,11 / 4 / 1996,9,64
65,65,0,4,2 / 1 / 1987,9,65
66,66,0,6,6 / 8 / 2024,3,66
67,67,0,6,2 / 10 / 2018,7,67
68,68,0,0,7 / 8 / 2008,9,68
69,69,0,0,4 / 23 / 2002,2,69
70,70,0,6,7 / 8 / 1993,0,70
71,71,0,6,2 / 15 / 2020,10,71
72,72,0,7,2 / 18 / 1994,7,72
73,73,0,6,1 / 9 / 1996,1,73
74,74,0,7,4 / 17 / 1991,4,74
75,75,0,7,8 / 22 / 2016,10,75
76,76,0,1,4 / 12 / 1985,8,76
77,77,0,6,3 / 25 / 1997,10,77
78,78,0,1,6 / 17 / 1999,9,78
79,79,0,0,1 / 26 / 2023,10,79
80,80,0,4,7 / 10 / 2021,0,80
81,81,0,5,11 / 5 / 1994,8,81
82,82,0,6,7 / 24 / 1992,8,82
83,83,0,4,6 / 23 / 2022,8,83
84,84,0,3,7 / 8 / 2020,8,84
85,85,0,6,11 / 2 / 2025,10,85
86,86,0,6,10 / 27 / 1995,9,86
87,87,0,2,9 / 9 / 2017,7,87
88,88,0,7,8 / 12 / 1998,1,88
89,89,0,0,4 / 12 / 2007,10,89
90,90,0,1,1 / 17 / 1996,8,90
91,91,0,3,2 / 11 / 2003,6,91
92,92,0,7,1 / 9 / 2011,9,92
93,93,0,7,3 / 16 / 2019,2,93
94,94,0,2,5 / 9 / 2022,7,94
95,95,0,2,9 / 17 / 2010,0,95
96,96,0,0,10 / 19 / 2015,7,96
97,97,0,3,11 / 27 / 1984,8,97
98,98,0,1,11 / 8 / 2007,0,98
99,99,0,3,10 / 6 / 1993,6,99
100,100,0,3,11 / 25 / 2015,10,100
101,101,0,1,6 / 19 / 2010,9,101
102,102,0,2,1 / 7 / 2019,6,102
103,103,0,1,2 / 18 / 2009,2,103
104,104,0,2,5 / 16 / 2000,9,104
105,105,0,7,9 / 20 / 1993,10,105
106,106,0,0,1 / 13 / 1993,1,106
107,107,0,0,10 / 12 / 1994,10,107
108,108,0,7,4 / 7 / 2003,7,108
109,109,0,6,8 / 17 / 1993,3,109
110,110,0,3,11 / 24 / 2015,0,110
111,111,0,3,9 / 25 / 1986,2,111
112,112,0,3,11 / 1 / 2004,9,112
113,113,0,1,11 / 10 / 1992,9,113
114,114,0,1,1 / 3 / 2006,4,114
115,115,0,5,11 / 3 / 1997,0,115
116,116,0,6,11 / 25 / 2015,8,116
117,117,0,5,10 / 15 / 1984,8,117
118,118,0,5,11 / 9 / 2003,4,118
119,119,0,3,1 / 21 / 1999,9,119
120,120,0,6,10 / 22 / 2003,2,120
121,121,0,1,8 / 22 / 2019,10,121
122,122,0,0,10 / 11 / 1995,1,122
123,123,0,2,10 / 23 / 1989,5,123
124,124,0,7,3 / 23 / 1987,4,124
125,125,0,5,8 / 27 / 1986,8,125
126,126,0,4,8 / 8 / 2018,7,126
127,127,0,1,6 / 6 / 2017,10,127
128,128,0,2,3 / 20 / 1997,1,128
129,129,0,5,11 / 13 / 2014,0,129
130,130,0,6,2 / 24 / 1997,2,130
131,131,0,5,1 / 23 / 2002,1,131
132,132,0,3,4 / 4 / 2001,6,132
133,133,0,6,7 / 17 / 2003,4,133
134,134,0,1,3 / 13 / 2006,4,134
135,135,0,1,3 / 26 / 2000,5,135
136,136,0,6,4 / 27 / 2014,3,136
137,137,0,7,4 / 12 / 1986,7,137
138,138,0,7,5 / 5 / 2004,4,138
139,139,0,5,8 / 21 / 2009,5,139
140,140,0,4,10 / 10 / 1997,7,140
141,141,0,3,10 / 4 / 2012,4,141
142,142,0,7,7 / 11 / 2023,9,142
143,143,0,0,10 / 10 / 2009,1,143
144,144,0,7,8 / 12 / 2002,4,144
145,145,0,7,7 / 18 / 2023,3,145
146,146,0,0,3 / 14 / 1995,2,146
147,147,0,3,9 / 23 / 2003,4,147
148,148,0,5,3 / 5 / 2023,4,148
149,149,0,0,2 / 13 / 1994,1,149
150,150,0,7,4 / 8 / 2002,10,150
151,151,0,7,11 / 14 / 2002,7,151
152,152,0,2,3 / 9 / 1986,8,152
153,153,0,2,8 / 27 / 2000,1,153
154,154,0,7,8 / 2 / 2017,7,154
155,155,0,2,10 / 6 / 1996,3,155
156,156,0,7,8 / 6 / 1990,4,156
157,157,0,2,9 / 8 / 1986,10,157
158,158,0,0,6 / 22 / 2012,5,158
159,159,0,1,3 / 24 / 2005,7,159
160,160,0,3,7 / 13 / 1992,5,160
161,161,0,0,6 / 3 / 2000,0,161
162,162,0,0,3 / 21 / 1994,9,162
163,163,0,6,11 / 17 / 2025,8,163
164,164,0,4,6 / 14 / 1992,2,164
165,165,0,7,7 / 23 / 2002,3,165
166,166,0,4,3 / 9 / 2015,7,166
167,167,0,7,1 / 16 / 1989,0,167
168,168,0,1,9 / 24 / 2020,9,168
169,169,0,2,5 / 20 / 1998,4,169
170,170,0,0,2 / 21 / 1998,0,170
171,171,0,0,4 / 18 / 2014,10,171
172,172,0,4,7 / 18 / 2014,4,172
173,173,0,0,7 / 22 / 1991,1,173
174,174,0,1,6 / 17 / 2018,8,174
175,175,0,5,11 / 4 / 2015,4,175
176,176,0,7,9 / 11 / 1988,8,176
177,177,0,0,3 / 6 / 1992,3,177
178,178,0,3,5 / 12 / 2007,8,178
179,179,0,3,1 / 8 / 2020,1,179
180,180,0,0,7 / 15 / 2025,10,180
181,181,0,4,3 / 23 / 2003,0,181
182,182,0,3,2 / 6 / 2008,7,182
183,183,0,0,5 / 26 / 2024,8,183
184,184,0,7,6 / 9 / 1997,7,184
185,185,0,7,11 / 7 / 2018,5,185
186,186,0,7,6 / 16 / 2002,1,186
187,187,0,7,11 / 17 / 2016,8,187
188,188,0,2,1 / 11 / 2003,8,188
189,189,0,1,7 / 4 / 2024,1,189
190,190,0,2,2 / 17 / 2025,3,190
191,191,0,3,1 / 19 / 1993,7,191
192,192,0,0,2 / 7 / 2006,0,192
193,193,0,0,11 / 19 / 2023,1,193
194,194,0,6,7 / 25 / 1988,4,194
195,195,0,3,2 / 16 / 2023,8,195
196,196,0,1,6 / 25 / 2016,1,196
197,197,0,4,6 / 26 / 1995,5,197
198,198,0,5,11 / 23 / 2009,8,198
199,199,0,0,7 / 3 / 1999,7,199
200,200,0,0,7 / 22 / 1994,10,200
201,201,0,7,7 / 7 / 1998,0,201
202,202,0,3,11 / 20 / 2005,10,202
203,203,0,3,1 / 15 / 1997,1,203
204,204,0,1,1 / 2 / 2020,1,204
205,205,0,6,3 / 15 / 1996,0,205
206,206,0,2,8 / 5 / 1985,8,206
207,207,0,2,10 / 10 / 2009,1,207
208,208,0,1,10 / 24 / 2006,9,208
209,209,0,5,3 / 19 / 2018,3,209
210,210,0,2,4 / 22 / 2010,0,210
211,211,0,4,1 / 22 / 2022,1,211
212,212,0,6,6 / 5 / 1993,2,212
213,213,0,3,10 / 21 / 1984,6,213
214,214,0,1,7 / 1 / 2003,2,214
215,215,0,1,8 / 14 / 2015,5,215
216,216,0,7,8 / 23 / 2019,1,216
217,217,0,1,10 / 22 / 2023,6,217
218,218,0,2,2 / 3 / 1993,8,218
219,219,0,5,2 / 20 / 2010,8,219
220,220,0,7,8 / 3 / 2013,6,220
221,221,0,0,7 / 11 / 2013,7,221
222,222,0,0,5 / 14 / 1984,8,222
223,223,0,2,11 / 8 / 1984,2,223
224,224,0,7,5 / 23 / 2002,7,224
225,225,0,3,5 / 25 / 1985,10,225
226,226,0,6,3 / 17 / 1984,4,226
227,227,0,1,6 / 17 / 2013,7,227
228,228,0,6,10 / 18 / 2015,10,228
229,229,0,7,1 / 27 / 1985,8,229
230,230,0,6,2 / 16 / 2002,0,230
231,231,0,3,1 / 11 / 2019,3,231
232,232,0,7,6 / 1 / 2010,7,232
233,233,0,0,7 / 26 / 2014,6,233
234,234,0,2,7 / 15 / 2019,4,234
235,235,0,0,6 / 14 / 2016,10,235
236,236,0,6,1 / 11 / 1986,9,236
237,237,0,2,10 / 16 / 2022,9,237
238,238,0,0,10 / 9 / 2014,0,238
239,239,0,4,11 / 10 / 2019,9,239
240,240,0,1,2 / 24 / 2007,4,240
241,241,0,5,9 / 3 / 2004,3,241
242,242,0,1,9 / 9 / 1991,10,242
243,243,0,5,5 / 2 / 2009,8,243
244,244,0,5,9 / 6 / 2020,9,244
245,245,0,2,6 / 15 / 2004,0,245
246,246,0,0,5 / 14 / 2008,7,246
247,247,0,7,1 / 24 / 2014,4,247
248,248,0,2,5 / 3 / 2011,7,248
249,249,0,5,2 / 7 / 2000,4,249
250,250,0,4,10 / 21 / 2016,1,250
251,251,0,4,5 / 4 / 1997,9,251
252,252,0,0,8 / 22 / 1985,4,252
253,253,0,0,1 / 10 / 2018,9,253
254,254,0,7,2 / 14 / 2022,2,254
255,255,0,2,2 / 4 / 2002,8,255
256,256,0,3,8 / 5 / 1984,0,256
257,257,0,5,2 / 4 / 1995,6,257
258,258,0,7,5 / 22 / 1990,4,258
259,259,0,0,7 / 5 / 2004,9,259
260,260,0,4,6 / 15 / 2000,4,260
261,261,0,0,8 / 7 / 1988,3,261
262,262,0,2,6 / 21 / 2018,5,262
263,263,0,3,6 / 3 / 1996,5,263
264,264,0,2,1 / 17 / 1995,2,264
265,265,0,6,9 / 8 / 2009,6,265
266,266,0,1,2 / 22 / 2002,0,266
267,267,0,2,4 / 7 / 1991,1,267
268,268,0,0,5 / 27 / 2000,9,268
269,269,0,5,2 / 4 / 2024,2,269
270,270,0,4,5 / 22 / 1991,8,270
271,271,0,5,11 / 12 / 2024,4,271
272,272,0,2,8 / 7 / 2013,7,272
273,273,0,6,9 / 18 / 2024,4,273
274,274,0,4,10 / 2 / 1995,6,274
275,275,0,3,2 / 17 / 1987,10,275
276,276,0,2,8 / 9 / 2017,2,276
277,277,0,6,9 / 16 / 2024,1,277
278,278,0,7,7 / 14 / 2024,2,278
279,279,0,5,4 / 17 / 2025,8,279
280,280,0,5,1 / 21 / 2001,2,280
281,281,0,5,6 / 11 / 2023,2,281
282,282,0,2,1 / 4 / 1997,3,282
283,283,0,3,2 / 9 / 2012,9,283
284,284,0,1,10 / 10 / 2023,4,284
285,285,0,3,2 / 9 / 1990,1,285
286,286,0,1,4 / 8 / 2011,5,286
287,287,0,1,6 / 14 / 1988,7,287
288,288,0,5,4 / 4 / 2016,6,288
289,289,0,6,10 / 8 / 2004,5,289
290,290,0,3,1 / 11 / 2019,7,290
291,291,0,5,8 / 14 / 2000,10,291
292,292,0,4,1 / 11 / 1990,4,292
293,293,0,1,8 / 8 / 2016,1,293
294,294,0,6,4 / 19 / 2008,4,294
295,295,0,4,3 / 4 / 1992,4,295
296,296,0,5,11 / 21 / 2023,10,296
297,297,0,2,2 / 25 / 1989,7,297
298,298,0,6,11 / 5 / 2025,9,298
299,299,0,7,11 / 6 / 1993,9,299
300,300,0,2,2 / 13 / 2023,4,300
301,301,0,5,6 / 9 / 2025,1,301
302,302,0,3,4 / 12 / 2020,2,302
303,303,0,3,11 / 11 / 1999,4,303
304,304,0,6,4 / 2 / 2005,9,304
305,305,0,6,9 / 15 / 1999,8,305
306,306,0,1,8 / 10 / 2016,8,306
307,307,0,4,9 / 25 / 2009,5,307
308,308,0,3,6 / 6 / 2019,3,308
309,309,0,1,1 / 21 / 2020,2,309
310,310,0,7,4 / 8 / 1998,7,310
311,311,0,3,3 / 26 / 2024,8,311
312,312,0,2,6 / 21 / 1988,9,312
313,313,0,5,9 / 22 / 1992,7,313
314,314,0,7,5 / 7 / 2015,4,314
315,315,0,4,4 / 23 / 2019,4,315
316,316,0,3,7 / 19 / 2019,4,316
317,317,0,5,1 / 14 / 2014,3,317
318,318,0,7,11 / 10 / 2013,7,318
319,319,0,5,9 / 24 / 2006,4,319
320,320,0,7,6 / 16 / 1992,4,320
321,321,0,7,6 / 20 / 2024,4,321
322,322,0,1,9 / 20 / 2011,2,322
323,323,0,5,3 / 4 / 2024,5,323
324,324,0,2,7 / 1 / 1987,5,324
325,325,0,4,2 / 16 / 1992,0,325
326,326,0,7,10 / 7 / 2022,10,326
327,327,0,1,4 / 7 / 2006,9,327
328,328,0,3,6 / 21 / 2011,7,328
329,329,0,5,7 / 22 / 2011,9,329
330,330,0,4,7 / 1 / 2023,2,330
331,331,0,0,9 / 10 / 2004,10,331
332,332,0,2,4 / 27 / 1986,8,332
333,333,0,2,10 / 19 / 1985,3,333
334,334,0,4,10 / 19 / 2003,5,334
335,335,0,0,3 / 16 / 2017,10,335
336,336,0,3,4 / 11 / 2014,1,336
337,337,0,7,1 / 19 / 2006,3,337
338,338,0,7,1 / 19 / 2021,0,338
339,339,0,6,9 / 23 / 2022,2,339
340,340,0,5,10 / 11 / 1987,3,340
341,341,0,0,8 / 24 / 2009,6,341
342,342,0,4,7 / 10 / 2010,7,342
343,343,0,3,10 / 10 / 1985,7,343
344,344,0,4,6 / 26 / 2017,8,344
345,345,0,6,10 / 5 / 2010,10,345
346,346,0,4,5 / 14 / 1993,7,346
347,347,0,6,7 / 25 / 2012,6,347
348,348,0,0,9 / 27 / 1986,10,348
349,349,0,5,5 / 2 / 1990,8,349
350,350,0,5,1 / 25 / 2021,1,350
351,351,0,1,3 / 15 / 2008,3,351
352,352,0,0,3 / 21 / 2005,4,352
353,353,0,4,1 / 21 / 1985,8,353
354,354,0,3,10 / 18 / 1997,4,354
355,355,0,1,10 / 5 / 1988,4,355
356,356,0,5,1 / 9 / 2022,6,356
357,357,0,3,5 / 3 / 1984,0,357
358,358,0,4,5 / 4 / 2022,6,358
359,359,0,1,4 / 19 / 2008,0,359
360,360,0,3,5 / 25 / 1991,5,360
361,361,0,7,11 / 24 / 2011,3,361
362,362,0,2,7 / 18 / 2001,9,362
363,363,0,1,6 / 15 / 2019,10,363
364,364,0,0,2 / 11 / 2025,0,364
365,365,0,3,6 / 25 / 2011,5,365
366,366,0,1,9 / 20 / 2018,8,366
367,367,0,4,5 / 14 / 1992,1,367
368,368,0,7,9 / 5 / 2015,7,368
369,369,0,0,11 / 26 / 2022,9,369
370,370,0,3,10 / 21 / 2002,6,370
371,371,0,6,6 / 9 / 1989,0,371
372,372,0,4,4 / 6 / 2007,4,372
373,373,0,0,10 / 21 / 1991,4,373
374,374,0,0,9 / 10 / 2022,3,374
375,375,0,3,3 / 6 / 1994,4,375
376,376,0,4,1 / 25 / 2006,0,376
377,377,0,5,3 / 6 / 2007,2,377
378,378,0,5,6 / 6 / 1999,3,378
379,379,0,2,10 / 20 / 1996,5,379
380,380,0,2,2 / 7 / 2025,5,380
381,381,0,5,10 / 26 / 2016,5,381
382,382,0,4,4 / 8 / 2017,10,382
383,383,0,6,5 / 9 / 1995,6,383
384,384,0,4,9 / 22 / 2010,4,384
385,385,0,2,1 / 14 / 2010,7,385
386,386,0,3,4 / 3 / 2008,1,386
387,387,0,0,4 / 3 / 1992,1,387
388,388,0,2,3 / 3 / 1999,0,388
389,389,0,4,7 / 26 / 1989,5,389
390,390,0,3,4 / 17 / 1999,4,390
391,391,0,4,11 / 24 / 2002,8,391
392,392,0,2,11 / 19 / 2019,3,392
393,393,0,2,10 / 4 / 2025,5,393
394,394,0,6,2 / 12 / 2012,5,394
395,395,0,3,5 / 26 / 1999,7,395
396,396,0,3,2 / 18 / 2009,7,396
397,397,0,7,6 / 4 / 2014,8,397
398,398,0,0,8 / 4 / 2005,7,398
399,399,0,5,11 / 26 / 2000,9,399
400,400,0,2,8 / 20 / 2016,7,400
401,401,0,6,2 / 7 / 2004,10,401
402,402,0,5,11 / 11 / 2008,4,402
403,403,0,6,10 / 6 / 2000,5,403
404,404,0,3,3 / 5 / 1995,7,404
405,405,0,0,6 / 6 / 2010,2,405
406,406,0,6,6 / 11 / 1995,1,406
407,407,0,5,9 / 25 / 2006,0,407
408,408,0,2,6 / 16 / 1994,2,408
409,409,0,1,4 / 19 / 1988,7,409
410,410,0,5,8 / 11 / 1984,0,410
411,411,0,7,8 / 19 / 2002,5,411
412,412,0,5,8 / 14 / 1985,5,412
413,413,0,4,10 / 21 / 1990,2,413
414,414,0,2,1 / 5 / 2008,0,414
415,415,0,0,2 / 26 / 2010,1,415
416,416,0,4,1 / 10 / 1995,4,416
417,417,0,1,10 / 27 / 2017,4,417
418,418,0,1,4 / 6 / 1985,3,418
419,419,0,1,11 / 16 / 1998,0,419
420,420,0,7,11 / 14 / 2016,4,420
421,421,0,5,10 / 12 / 2000,4,421
422,422,0,3,1 / 24 / 2021,6,422
423,423,0,0,8 / 4 / 2024,6,423
424,424,0,5,11 / 5 / 2013,2,424
425,425,0,2,7 / 8 / 2011,10,425
426,426,0,3,7 / 13 / 2011,2,426
427,427,0,2,1 / 5 / 1984,3,427
428,428,0,2,3 / 14 / 2009,8,428
429,429,0,0,5 / 11 / 1984,3,429
430,430,0,1,11 / 2 / 2024,2,430
431,431,0,2,5 / 5 / 2019,9,431
432,432,0,1,11 / 3 / 2019,8,432
433,433,0,0,1 / 6 / 2017,0,433
434,434,0,1,1 / 10 / 2020,4,434
435,435,0,4,2 / 1 / 1988,6,435
436,436,0,5,9 / 24 / 1987,7,436
437,437,0,2,10 / 10 / 1996,5,437
438,438,0,4,11 / 26 / 2018,5,438
439,439,0,4,3 / 12 / 1994,9,439
440,440,0,3,2 / 12 / 1997,0,440
441,441,0,1,9 / 19 / 1994,5,441
442,442,0,7,7 / 25 / 2021,3,442
443,443,0,1,10 / 14 / 1997,8,443
444,444,0,3,2 / 6 / 1991,7,444
445,445,0,6,1 / 2 / 2019,0,445
446,446,0,5,5 / 13 / 1990,4,446
447,447,0,4,6 / 20 / 2013,10,447
448,448,0,2,6 / 18 / 2014,10,448
449,449,0,0,6 / 15 / 2023,10,449
450,450,0,6,1 / 22 / 2008,10,450
451,451,0,6,8 / 14 / 1997,8,451
452,452,0,6,7 / 20 / 2023,4,452
453,453,0,6,4 / 3 / 1993,4,453
454,454,0,4,10 / 13 / 2022,6,454
455,455,0,2,8 / 12 / 1997,2,455
456,456,0,2,11 / 9 / 2021,6,456
457,457,0,7,8 / 10 / 1998,7,457
458,458,0,7,6 / 2 / 2000,7,458
459,459,0,7,1 / 25 / 2012,5,459
460,460,0,7,3 / 24 / 2013,4,460
461,461,0,5,6 / 1 / 2012,10,461
462,462,0,5,3 / 3 / 1999,9,462
463,463,0,7,2 / 21 / 1993,1,463
464,464,0,3,4 / 2 / 2022,7,464
465,465,0,1,7 / 16 / 1994,6,465
466,466,0,0,3 / 8 / 1997,7,466
467,467,0,5,5 / 14 / 1993,6,467
468,468,0,2,7 / 17 / 2011,2,468
469,469,0,0,8 / 2 / 1985,9,469
470,470,0,1,2 / 8 / 2003,3,470
471,471,0,1,3 / 20 / 1995,0,471
472,472,0,6,5 / 2 / 1998,3,472
473,473,0,7,5 / 3 / 1985,0,473
474,474,0,3,2 / 16 / 2020,8,474
475,475,0,2,8 / 2 / 2014,7,475
476,476,0,3,2 / 16 / 1985,5,476
477,477,0,7,6 / 6 / 2007,8,477
478,478,0,0,7 / 3 / 2011,0,478
479,479,0,4,10 / 6 / 2016,10,479
480,480,0,7,3 / 27 / 2018,8,480
481,481,0,3,10 / 20 / 2011,9,481
482,482,0,7,6 / 13 / 1988,2,482
483,483,0,4,6 / 14 / 2025,3,483
484,484,0,4,4 / 22 / 2003,2,484
485,485,0,1,10 / 15 / 1996,3,485
486,486,0,0,2 / 22 / 1986,2,486
487,487,0,6,10 / 4 / 2016,7,487
488,488,0,4,2 / 17 / 2001,7,488
489,489,0,1,5 / 8 / 2013,5,489
490,490,0,0,7 / 19 / 2010,5,490
491,491,0,0,8 / 26 / 2008,4,491
492,492,0,0,6 / 12 / 1989,2,492
493,493,0,5,2 / 14 / 1989,10,493
494,494,0,1,4 / 17 / 1997,3,494
495,495,0,4,10 / 23 / 1987,2,495
496,496,0,7,10 / 17 / 2016,9,496
497,497,0,0,4 / 20 / 1992,1,497
498,498,0,6,6 / 7 / 2002,3,498
499,499,0,5,7 / 22 / 1994,2,499
500,500,0,5,9 / 3 / 2018,8,500
501,501,0,5,4 / 5 / 2007,0,501
502,502,0,7,1 / 9 / 1987,8,502
503,503,0,1,2 / 6 / 2008,4,503
504,504,0,7,11 / 27 / 2024,9,504
505,505,0,1,1 / 27 / 2003,0,505
506,506,0,4,7 / 8 / 2022,6,506
507,507,0,4,1 / 11 / 2002,10,507
508,508,0,7,6 / 2 / 1991,1,508
509,509,0,6,3 / 3 / 1985,9,509
510,510,0,4,5 / 11 / 1991,6,510
511,511,0,1,3 / 22 / 2012,1,511
512,512,0,2,1 / 18 / 2012,6,512
513,513,0,5,2 / 9 / 2001,2,513
514,514,0,0,3 / 18 / 2007,5,514
515,515,0,7,1 / 5 / 2009,9,515
516,516,0,5,4 / 15 / 2025,10,516
517,517,0,6,10 / 1 / 2012,2,517
518,518,0,2,3 / 8 / 1984,3,518
519,519,0,0,2 / 17 / 2003,0,519
520,520,0,3,1 / 23 / 1995,8,520
521,521,0,6,11 / 3 / 1996,5,521
522,522,0,6,5 / 23 / 1997,0,522
523,523,0,3,10 / 1 / 2014,0,523
524,524,0,4,2 / 17 / 2008,3,524
525,525,0,1,3 / 13 / 2003,10,525
526,526,0,6,5 / 3 / 2010,0,526
527,527,0,0,9 / 14 / 2000,0,527
528,528,0,5,6 / 22 / 2002,3,528
529,529,0,2,7 / 26 / 2017,8,529
530,530,0,7,8 / 4 / 1985,8,530
531,531,0,7,2 / 22 / 2005,2,531
532,532,0,2,9 / 8 / 1988,9,532
533,533,0,7,11 / 5 / 1988,6,533
534,534,0,3,3 / 9 / 1994,9,534
535,535,0,6,8 / 7 / 2011,7,535
536,536,0,3,8 / 1 / 1994,5,536
537,537,0,4,2 / 9 / 2011,5,537
538,538,0,0,8 / 4 / 1992,10,538
539,539,0,7,9 / 17 / 2003,10,539
540,540,0,0,10 / 20 / 1997,8,540
541,541,0,5,11 / 20 / 1994,10,541
542,542,0,2,5 / 17 / 1999,4,542
543,543,0,6,7 / 16 / 2002,9,543
544,544,0,4,4 / 19 / 2007,2,544
545,545,0,3,8 / 8 / 2013,2,545
546,546,0,3,8 / 7 / 1985,6,546
547,547,0,3,2 / 9 / 2020,2,547
548,548,0,1,6 / 20 / 2005,1,548
549,549,0,3,9 / 5 / 1995,1,549
550,550,0,2,10 / 15 / 2017,7,550
551,551,0,6,10 / 9 / 1993,8,551
552,552,0,6,4 / 2 / 1991,10,552
553,553,0,4,9 / 2 / 1985,4,553
554,554,0,5,1 / 17 / 2008,8,554
555,555,0,4,6 / 8 / 2022,2,555
556,556,0,1,7 / 8 / 1993,1,556
557,557,0,6,3 / 8 / 2010,10,557
558,558,0,2,10 / 2 / 2015,2,558
559,559,0,2,7 / 17 / 2024,3,559
560,560,0,5,11 / 20 / 2018,0,560
561,561,0,7,2 / 22 / 2018,5,561
562,562,0,5,9 / 18 / 2014,4,562
563,563,0,2,9 / 27 / 2008,4,563
564,564,0,3,10 / 11 / 1996,4,564
565,565,0,1,1 / 2 / 2000,9,565
566,566,0,4,10 / 24 / 1998,8,566
567,567,0,7,11 / 27 / 2008,8,567
568,568,0,3,1 / 18 / 2009,2,568
569,569,0,4,3 / 15 / 2010,5,569
570,570,0,1,1 / 13 / 2010,3,570
571,571,0,2,1 / 27 / 1984,4,571
572,572,0,4,6 / 18 / 2024,3,572
573,573,0,6,6 / 18 / 2008,0,573
574,574,0,5,3 / 18 / 2004,3,574
575,575,0,1,9 / 15 / 2024,8,575
576,576,0,6,11 / 7 / 2009,7,576
577,577,0,0,5 / 27 / 1986,9,577
578,578,0,2,6 / 11 / 2006,8,578
579,579,0,3,9 / 6 / 2024,6,579
580,580,0,0,3 / 17 / 1996,10,580
581,581,0,6,9 / 5 / 1995,6,581
582,582,0,4,11 / 6 / 2009,4,582
583,583,0,7,6 / 27 / 1995,9,583
584,584,0,7,2 / 13 / 2015,1,584
585,585,0,7,8 / 11 / 1997,7,585
586,586,0,3,4 / 7 / 1995,0,586
587,587,0,3,2 / 6 / 2009,2,587
588,588,0,3,2 / 13 / 1985,9,588
589,589,0,0,3 / 14 / 1988,8,589
590,590,0,6,6 / 1 / 1984,8,590
591,591,0,5,9 / 17 / 2017,3,591
592,592,0,3,2 / 14 / 1996,10,592
593,593,0,4,5 / 15 / 2011,7,593
594,594,0,0,5 / 9 / 1992,3,594
595,595,0,1,6 / 24 / 2002,9,595
596,596,0,4,10 / 9 / 2005,9,596
597,597,0,5,4 / 13 / 2002,4,597
598,598,0,4,11 / 7 / 2020,1,598
599,599,0,3,2 / 25 / 2012,9,599
600,600,0,3,10 / 3 / 2011,2,600
601,601,0,3,2 / 1 / 1990,1,601
602,602,0,7,6 / 19 / 2025,9,602
603,603,0,2,2 / 17 / 1995,6,603
604,604,0,1,7 / 18 / 2008,2,604
